key,conf,team,2pa,3pa,rim attempts,middy attempts,total minutes,2p%,3p%,assisted 3p %,rim%,assisted rim fg%,middy fg%,assisted middy fg%,rim attempt rate,middy attempt rate,3 pt rate,transition 2p%,transition 3p%,transition midrange fg%,% of assists end w/ rim,% of assists end w/ middy,% of assists end w/ 3p,off_team_poss_value,def_team_poss_value,roster_ncaa_id,offensive rapm,defensive rapm,hoop_hgt_in,pos,exp,num,g,min,mpg,ppg,oreb,dreb,rpg,apg,tov,ast_to,spg,bpg,usg,ortg,efg,ts,torvik_id,fgm,ftm,fta,ft_pct,two_m,two_a,three_m,three_a,dunk_m,dunk_a,dunk_pct,porpag,dporpag,adj_oe,drtg,adj_de,stops,obpm,dbpm,bpm,oreb_rate,dreb_rate,ast,to,blk,stl,ftr,pfr,recruit rank,pick,fga,fg_pct,torvik_year,torvik_hgt_in,total RAPM,stls/100,blks/100,stops/100,3pa/100,midfga/100,dunkfga/100,rimfga/100,2pa/100,weight
Mor Massamba Diop,(INTL) ACB,GCN,1,,,,74.8,0.8,0,,,,,,,,0,,,,,,,,,,,,85,,,,17,74.8,4.4,1.9,0.3,0.3,0.6,0,,0,0.1,0.2,19.4,111.3,0.765,0.699,https://basketball.realgm.com/player/Mor-Massamba-Diop/Summary/208667,0.8,0.4,0.9,0.467,0.8,1,0,0,,,,,,,121.9,,,,,,9.3,9.4,0,20.3,4.6,1.5,,,,,1,0.765,2025,85,,,,,,,,,,230
Musa Sagnia,(INTL) ACB,MAN,1.8,,,,478.5,0.555555556,0.276,,,,,,,,0.5,,,,,,,,,,,,82,,,,33,478.5,14.5,3.8,1.4,1.7,3.1,0.5,,0.625,0.5,0.4,14.3,100.9,0.492,0.493,https://basketball.realgm.com/player/Musa-Sagnia/Summary/160758,1.5,0.3,0.6,0.45,1,1.8,0.5,1.8,,,,,,,107.7,,,,,,11,15.4,5.7,17.3,2.7,1.9,,,,,3.6,0.425,2025,82,,,,,,,,,,235
Ousmane N'Diaye,(INTL) ACB,GRA,1.7,,,,185.9,0.470588235,0.346,,,,,,,,0.540540541,,,,,,,,,,,,83,,,,13,185.9,14.3,3.7,1.2,2,3.2,0.2,,0.222222222,0.4,0.5,14.7,95.5,0.49,0.491,https://basketball.realgm.com/player/Ousmane-NDiaye/Summary/159593,1.5,0.1,0.2,0.5,0.8,1.7,0.7,2,,,,,,,118.3,,,,,,10.1,18.2,2.8,19.7,4.2,1.4,,,,,3.7,0.396,2025,83,,,,,,,,,,210
Rafael Villar,(INTL) ACB,FOR,2.8,,,,646,0.535714286,0.17,,,,,,,,0.333333333,,,,,,,,,,,,76,,,,34,646,19,5.7,0.6,1.7,2.4,2.9,,2.071428571,1.2,0.4,16,109.1,0.444,0.539,https://basketball.realgm.com/player/Rafael-Villar/Summary/147202,1.7,2,2.5,0.798,1.5,2.8,0.2,1.4,,,,,,,112.2,,,,,,4.1,11.6,25.3,20.8,2.2,3.3,,,,,4.2,0.415,2025,76,,,,,,,,,,
Raul Villar,(INTL) ACB,FCB,1.2,,,,148.8,0.416666667,0.556,,,,,,,,0.333333333,,,,,,,,,,,,75,,,,16,148.8,9.3,2.4,0.6,0.4,1,1.1,,2.2,0.6,0,13,121.2,0.534,0.569,https://basketball.realgm.com/player/Raul-Villar/Summary/207473,0.8,0.4,0.6,0.7,0.5,1.2,0.3,0.6,,,,,,,112.8,,,,,,8.4,6,16.5,19.3,0,3.6,,,,,1.8,0.448,2025,75,,,,,,,,,,190
Ruben Dominguez,(INTL) ACB,BBB,1.9,,,,397.3,0.315789474,0.402,,,,,,,,0.634615385,,,,,,,,,,,,78,,,,29,397.3,13.7,6,0.4,1.1,1.5,0.5,,1.666666667,0.3,0.1,20.8,111.6,0.49,0.528,https://basketball.realgm.com/player/Ruben-Dominguez/Summary/139598,1.9,0.9,1,0.862,0.6,1.9,1.3,3.3,,,,,,,117.5,,,,,,3.4,10.4,6.3,4.6,0.5,1.4,,,,,5.2,0.362,2025,78,,,,,,,,,,213
Sergio De Larrea,(INTL) ACB,VAL,1.9,,,,366,0.473684211,0.444,,,,,,,,0.486486486,,,,,,,,,,,,77,,,,30,366,12.2,5.6,0.8,1.4,2.1,2.1,,1.235294118,0.4,0.2,22.1,113.7,0.571,0.633,https://basketball.realgm.com/player/Sergio-De-Larrea/Summary/175825,1.7,1.4,1.6,0.837,0.9,1.9,0.8,1.8,,,,,,,112.5,,,,,,7.5,12.7,25.5,27.2,1.9,1.9,,,,,3.7,0.464,2025,77,,,,,,,,,,175
Thijs De Ridder,(INTL) ACB,BBB,4.8,,,,683.1,0.5625,0.391,,,,,,,,0.304347826,,,,,,,,,,,,81,,,,33,683.1,20.7,9.3,1.6,3.2,4.8,0.6,,0.75,0.6,0.3,19.8,120.7,0.561,0.6,https://basketball.realgm.com/player/Thijs-De-Ridder/Summary/139197,3.5,1.5,1.9,0.81,2.7,4.8,0.8,2.1,,,,,,,112.3,,,,,,9.4,19.8,5.3,8.9,1.6,1.6,,,,,6.9,0.502,2025,81,,,,,,,,,,238
Carlos Alocen,(INTL) ACB,ZAR,2.1,,,,588.3,0.523809524,0.4,,,,,,,,0.487804878,,,,,,,,,,,,77,,,,37,588.3,15.9,5.4,0.1,1.5,1.6,2.4,,1.411764706,0.6,0,18.3,100,0.556,0.576,https://basketball.realgm.com/player/Carlos-Alocen/Summary/94502,1.9,0.8,1.2,0.644,1.1,2.1,0.8,2,,,,,,,113.5,,,,,,1,11.4,23.5,26.4,0.2,2.1,,,,,4.1,0.458,2019,77,,,,,,,,,,205
Emanuel Cate,(INTL) ACB,MUR,2.8,,,,513.4,0.678571429,0,,,,,,,,0,,,,,,,,,,,,81,,,,34,513.4,15.1,4.7,1.7,1.8,3.6,0.3,,0.375,0.4,0.5,13.4,123.8,0.67,0.679,https://basketball.realgm.com/player/Emanuel-Cate/Summary/54113,1.9,1,1.6,0.63,1.9,2.8,0,0,,,,,,,111.4,,,,,,14.2,15.9,3.4,19.2,3.9,1.4,,,,,2.8,0.67,2019,81,,,,,,,,,,225
