year,pick,player_name,player_name_lower
2013,43,Ricky Ledo,ricky ledo
2013,44,Mike Muscala,mike muscala
2013,45,Marko Todorovic,marko todorovic
2013,46,Erick Green,erick green
2013,47,Raul Neto,raul neto
2013,48,Ryan Kelly,ryan kelly
2013,49,Erik Murphy,erik murphy
2013,50,James Ennis,james ennis
2013,51,Romero Osby,romero osby
2013,52,Lorenzo Brown,lorenzo brown
2013,53,Colton Iverson,colton iverson
2013,54,Arsalan Kazemi,arsalan kazemi
2013,55,Joffrey Lauvergne,joffrey lauvergne
2013,56,Peyton Siva,peyton siva
2013,57,Alex Oriakhi,alex oriakhi
2013,58,Deshaun Thomas,deshaun thomas
2013,59,Bojan Dubljevic,bojan dubljevic
2013,60,Janis Timma,janis timma
2014,1,Andrew Wiggins,andrew wiggins
2014,2,Jabari Parker,jabari parker
2014,3,Joel Embiid,joel embiid
2014,4,Aaron Gordon,aaron gordon
2014,5,Dante Exum,dante exum
2014,6,Marcus Smart,marcus smart
2014,7,Julius Randle,julius randle
2014,8,Nik Stauskas,nik stauskas
2014,9,Noah Vonleh,noah vonleh
2014,10,Elfrid Payton,elfrid payton
2014,11,Doug McDermott,doug mcdermott
2014,12,Dario Saric,dario saric
2014,13,Zach LaVine,zach lavine
2014,14,T.J. Warren,t.j. warren
2014,15,Adreian Payne,adreian payne
2014,16,Jusuf Nurkic,jusuf nurkic
2014,17,James Young,james young
2014,18,Tyler Ennis,tyler ennis
2014,19,Gary Harris,gary harris
2014,20,Bruno Caboclo,bruno caboclo
2014,21,Mitch McGary,mitch mcgary
2014,22,Jordan Adams,jordan adams
2014,23,Rodney Hood,rodney hood
2014,24,Shabazz Napier,shabazz napier
2014,25,Clint Capela,clint capela
2014,26,P.J. Hairston,p.j. hairston
2014,27,Bogdan Bogdanovic,bogdan bogdanovic
2014,28,C.J. Wilcox,c.j. wilcox
2014,29,Josh Huestis,josh huestis
2014,30,Kyle Anderson,kyle anderson
2014,31,Damien Inglis,damien inglis
2014,32,K.J. McDaniels,k.j. mcdaniels
2014,33,Joe Harris,joe harris
2014,34,Cleanthony Early,cleanthony early
2014,35,Jarnell Stokes,jarnell stokes
2014,36,Johnny O'Bryant,johnny o'bryant
2014,37,DeAndre Daniels,deandre daniels
2014,38,Spencer Dinwiddie,spencer dinwiddie
2014,39,Jerami Grant,jerami grant
2014,40,Glenn Robinson III,glenn robinson iii
2014,41,Nikola Jokic,nikola jokic
2014,42,Nick Johnson,nick johnson
2014,43,Walter Tavares,walter tavares
2014,44,Markel Brown,markel brown
2014,45,Dwight Powell,dwight powell
2014,46,Jordan Clarkson,jordan clarkson
2014,47,Russ Smith,russ smith
2014,48,Lamar Patterson,lamar patterson
2014,49,Cameron Bairstow,cameron bairstow
2014,50,Alec Brown,alec brown
2014,51,Thanasis Antetokounmpo,thanasis antetokounmpo
2014,52,Vasilije Micic,vasilije micic
2014,53,Alessandro Gentile,alessandro gentile
2014,54,Nemanja Dangubic,nemanja dangubic
2014,55,Semaj Christon,semaj christon
2014,56,Devyn Marble,devyn marble
2014,57,Louis Labeyrie,louis labeyrie
2014,58,Jordan McRae,jordan mcrae
2014,59,Xavier Thames,xavier thames
2014,60,Cory Jefferson,cory jefferson
2015,1,Karl-Anthony Towns,karl-anthony towns
2015,2,D'Angelo Russell,d'angelo russell
2015,3,Jahlil Okafor,jahlil okafor
2015,4,Kristaps Porzingis,kristaps porzingis
2015,5,Mario Hezonja,mario hezonja
2015,6,Willie Cauley-Stein,willie cauley-stein
2015,7,Emmanuel Mudiay,emmanuel mudiay
2015,8,Stanley Johnson,stanley johnson
2015,9,Frank Kaminsky,frank kaminsky
2015,10,Justise Winslow,justise winslow
2015,11,Myles Turner,myles turner
2015,12,Trey Lyles,trey lyles
2015,13,Devin Booker,devin booker
2015,14,Cameron Payne,cameron payne
2015,15,Kelly Oubre,kelly oubre
2015,16,Terry Rozier,terry rozier
2015,17,Rashad Vaughn,rashad vaughn
2015,18,Sam Dekker,sam dekker
2015,19,Jerian Grant,jerian grant
2015,20,Delon Wright,delon wright
2015,21,Justin Anderson,justin anderson
2015,22,Bobby Portis,bobby portis
2015,23,Rond. Hollis-Jefferson,rond. hollis-jefferson
2015,24,Tyus Jones,tyus jones
2015,25,Jarell Martin,jarell martin
2015,26,Nikola Milutinov,nikola milutinov
2015,27,Larry Nance Jr.,larry nance jr.
2015,28,R.J. Hunter,r.j. hunter
2015,29,Chris McCullough,chris mccullough
2015,30,Kevon Looney,kevon looney
2015,31,Cedi Osman,cedi osman
2015,32,Montrezl Harrell,montrezl harrell
2015,33,Jordan Mickey,jordan mickey
2015,34,Anthony Brown,anthony brown
2015,35,Willy Hernangomez,willy hernangomez
2015,36,Rakeem Christmas,rakeem christmas
2015,37,Richaun Holmes,richaun holmes
2015,38,Darrun Hilliard,darrun hilliard
2015,39,Juan Pablo Vaulet,juan pablo vaulet
2015,40,Josh Richardson,josh richardson
2015,41,Pat Connaughton,pat connaughton
2015,42,Olivier Hanlan,olivier hanlan
2015,43,Joe Young,joe young
2015,44,Andrew Harrison,andrew harrison
2015,45,Marcus Thornton (W&M),marcus thornton (w&m)
2015,46,Norman Powell,norman powell
2015,47,Arturas Gudaitis,arturas gudaitis
2015,48,Dakari Johnson,dakari johnson
2015,49,Aaron White,aaron white
2015,50,Marcus Eriksson,marcus eriksson
2015,51,Tyler Harvey,tyler harvey
2015,52,Satnam Singh,satnam singh
2015,53,Sir'Dominic Pointer,sir'dominic pointer
2015,54,Dani Diez,dani diez
2015,55,Cady Lalanne,cady lalanne
2015,56,Branden Dawson,branden dawson
2015,57,Nikola Radicevic,nikola radicevic
2015,58,J.P. Tokoto,j.p. tokoto
2015,59,Dimitrios Agravanis,dimitrios agravanis
2015,60,Luka Mitrovic,luka mitrovic
2016,1,Ben Simmons,ben simmons
2016,2,Brandon Ingram,brandon ingram
2016,3,Jaylen Brown,jaylen brown
2016,4,Dragan Bender,dragan bender
2016,5,Kris Dunn,kris dunn
2016,6,Buddy Hield,buddy hield
2016,7,Jamal Murray,jamal murray
2016,8,Marquese Chriss,marquese chriss
2016,9,Jakob Poeltl,jakob poeltl
2016,10,Thon Maker,thon maker
2016,11,Domantas Sabonis,domantas sabonis
2016,12,Taurean Prince,taurean prince
2016,13,Georgios Papagiannis,georgios papagiannis
2016,14,Denzel Valentine,denzel valentine
2016,15,Juan Hernangomez,juan hernangomez
2016,16,Guerschon Yabusele,guerschon yabusele
2016,17,Wade Baldwin IV,wade baldwin iv
2016,18,Henry Ellenson,henry ellenson
2016,19,Malik Beasley,malik beasley
2016,20,Caris LeVert,caris levert
2016,21,DeAndre' Bembry,deandre' bembry
2016,22,Malachi Richardson,malachi richardson
2016,23,Ante Zizic,ante zizic
2016,24,Timot. Luwawu-Cabarrot,timot. luwawu-cabarrot
2016,25,Brice Johnson,brice johnson
2016,26,Furkan Korkmaz,furkan korkmaz
2016,27,Pascal Siakam,pascal siakam
2016,28,Skal Labissiere,skal labissiere
2016,29,Dejounte Murray,dejounte murray
2016,30,Damian Jones,damian jones
2016,31,Deyonta Davis,deyonta davis
2016,32,Ivica Zubac,ivica zubac
2016,33,Cheick Diallo,cheick diallo
2016,34,Tyler Ulis,tyler ulis
2016,35,Rade Zagorac,rade zagorac
2016,36,Malcolm Brogdon,malcolm brogdon
2016,37,Chinanu Onuaku,chinanu onuaku
2016,38,Patrick McCaw,patrick mccaw
2016,39,David Michineau,david michineau
2016,40,Diamond Stone,diamond stone
2016,41,Stephen Zimmerman,stephen zimmerman
2016,42,Isaiah Whitehead,isaiah whitehead
2016,43,Zhou Qi,zhou qi
2016,44,Isaia Cordinier,isaia cordinier
2016,45,Demetrius Jackson,demetrius jackson
2016,46,A.J. Hammons,a.j. hammons
2016,47,Jake Layman,jake layman
2016,48,Paul Zipser,paul zipser
2016,49,Michael Gbinije,michael gbinije
2016,50,Georges Niang,georges niang
2016,51,Ben Bentil,ben bentil
2016,52,Joel Bolomboy,joel bolomboy
2016,53,Petr Cornelie,petr cornelie
2016,54,Kay Felder,kay felder
2016,55,Marcus Paige,marcus paige
2016,56,Daniel Hamilton,daniel hamilton
2016,57,Wang Zhelin,wang zhelin
2016,58,Abdel Nader,abdel nader
2016,59,Isaiah Cousins,isaiah cousins
2016,60,Tyrone Wallace,tyrone wallace
2017,1,Markelle Fultz,markelle fultz
2017,2,Lonzo Ball,lonzo ball
2017,3,Jayson Tatum,jayson tatum
2017,4,Josh Jackson,josh jackson
2017,5,De'Aaron Fox,de'aaron fox
2017,6,Jonathan Isaac,jonathan isaac
2017,7,Lauri Markkanen,lauri markkanen
2017,8,Frank Ntilikina,frank ntilikina
2017,9,Dennis Smith,dennis smith
2017,10,Zach Collins,zach collins
2017,11,Malik Monk,malik monk
2017,12,Luke Kennard,luke kennard
2017,13,Donovan Mitchell,donovan mitchell
2017,14,Bam Adebayo,bam adebayo
2017,15,Justin Jackson,justin jackson
2017,16,Justin Patton,justin patton
2017,17,D.J. Wilson,d.j. wilson
2017,18,TJ Leaf,tj leaf
2017,19,John Collins,john collins
2017,20,Harry Giles,harry giles
2017,21,Terrance Ferguson,terrance ferguson
2017,22,Jarrett Allen,jarrett allen
2017,23,O.G. Anunoby,o.g. anunoby
2017,24,Tyler Lydon,tyler lydon
2017,25,Anzejs Pasecniks,anzejs pasecniks
2017,26,Caleb Swanigan,caleb swanigan
2017,27,Kyle Kuzma,kyle kuzma
2017,28,Tony Bradley,tony bradley
2017,29,Derrick White,derrick white
2017,30,Josh Hart,josh hart
2017,31,Frank Jackson,frank jackson
2017,32,Davon Reed,davon reed
2017,33,Wesley Iwundu,wesley iwundu
2017,34,Frank Mason,frank mason
2017,35,Ivan Rabb,ivan rabb
2017,36,Jonah Bolden,jonah bolden
2017,37,Semi Ojeleye,semi ojeleye
2017,38,Jordan Bell,jordan bell
2017,39,Jawun Evans,jawun evans
2017,40,Dwayne Bacon,dwayne bacon
2017,41,Tyler Dorsey,tyler dorsey
2017,42,Thomas Bryant,thomas bryant
2017,43,Isaiah Hartenstein,isaiah hartenstein
2017,44,Damyean Dotson,damyean dotson
2017,45,Dillon Brooks,dillon brooks
2017,46,Sterling Brown,sterling brown
2017,47,Ike Anigbogu,ike anigbogu
2017,48,Sindarius Thornwell,sindarius thornwell
2017,49,Vlatko Cancar,vlatko cancar
2017,50,Mathias Lessort,mathias lessort
2017,51,Monte Morris,monte morris
2017,52,Edmond Sumner,edmond sumner
2017,53,Kadeem Allen,kadeem allen
2017,54,Alec Peters,alec peters
2017,55,Nigel Williams-Goss,nigel williams-goss
2017,56,Jabari Bird,jabari bird
2017,57,Sasha Vezenkov,sasha vezenkov
2017,58,Ognjen Jaramaz,ognjen jaramaz
2017,59,Jaron Blossomgame,jaron blossomgame
2017,60,Alpha Kaba,alpha kaba
2018,1,DeAndre Ayton,deandre ayton
2018,2,Marvin Bagley,marvin bagley
2018,3,Luka Doncic,luka doncic
2018,4,Jaren Jackson Jr.,jaren jackson jr.
2018,5,Trae Young,trae young
2018,6,Mohamed Bamba,mohamed bamba
2018,7,Wendell Carter,wendell carter
2018,8,Collin Sexton,collin sexton
2018,9,Kevin Knox,kevin knox
2018,10,Mikal Bridges,mikal bridges
2018,11,Sh. Gilgeous-Alexander,sh. gilgeous-alexander
2018,12,Miles Bridges,miles bridges
2018,13,Jerome Robinson,jerome robinson
2018,14,Michael Porter,michael porter
2018,15,Troy Brown,troy brown
2018,16,Zhaire Smith,zhaire smith
2018,17,Donte DiVincenzo,donte divincenzo
2018,18,Lonnie Walker,lonnie walker
2018,19,Kevin Huerter,kevin huerter
2018,20,Josh Okogie,josh okogie
2018,21,Grayson Allen,grayson allen
2018,22,Chandler Hutchison,chandler hutchison
2018,23,Aaron Holiday,aaron holiday
2018,24,Anfernee Simons,anfernee simons
2018,25,Moritz Wagner,moritz wagner
2018,26,Landry Shamet,landry shamet
2018,27,Robert Williams,robert williams
2018,28,Jacob Evans,jacob evans
2018,29,Dzanan Musa,dzanan musa
2018,30,Omari Spellman,omari spellman
2018,31,Elie Okobo,elie okobo
2018,32,Jevon Carter,jevon carter
2018,33,Jalen Brunson,jalen brunson
2018,34,Devonte' Graham,devonte' graham
2018,35,Melvin Frazier,melvin frazier
2018,36,Mitchell Robinson,mitchell robinson
2018,37,Gary Trent Jr.,gary trent jr.
2018,38,Khyri Thomas,khyri thomas
2018,39,Isaac Bonga,isaac bonga
2018,40,Rodions Kurucs,rodions kurucs
2018,41,Jarred Vanderbilt,jarred vanderbilt
2018,42,Bruce Brown,bruce brown
2018,43,Justin Jackson (UMD),justin jackson (umd)
2018,44,Issuf Sanon,issuf sanon
2018,45,Hamidou Diallo,hamidou diallo
2018,46,De'Anthony Melton,de'anthony melton
2018,47,Sviatoslav Mykhailiuk,sviatoslav mykhailiuk
2018,48,Keita Bates-Diop,keita bates-diop
2018,49,Chimezie Metu,chimezie metu
2018,50,Alize Johnson,alize johnson
2018,51,Tony Carr,tony carr
2018,52,Vince Edwards,vince edwards
2018,53,Devon Hall,devon hall
2018,54,Shake Milton,shake milton
2018,55,Arnoldas Kulboka,arnoldas kulboka
2018,56,Ray Spalding,ray spalding
2018,57,Kevin Hervey,kevin hervey
2018,58,Thomas Welsh,thomas welsh
2018,59,George King,george king
2018,60,Kostas Antetokounmpo,kostas antetokounmpo
2019,1,Zion Williamson,zion williamson
2019,2,Ja Morant,ja morant
2019,3,R.J. Barrett,r.j. barrett
2019,4,De'Andre Hunter,de'andre hunter
2019,5,Darius Garland,darius garland
2019,6,Jarrett Culver,jarrett culver
2019,7,Coby White,coby white
2019,8,Jaxson Hayes,jaxson hayes
2019,9,Rui Hachimura,rui hachimura
2019,10,Cam Reddish,cam reddish
2019,11,Cameron Johnson,cameron johnson
2019,12,P.J. Washington,p.j. washington
2019,13,Tyler Herro,tyler herro
