year,pick,player_name,profile_url
2010,22,Elliot Williams,https://www.basketball-reference.com/players/w/williel01.html
2010,23,Trevor Booker,https://www.basketball-reference.com/players/b/booketr01.html
2010,24,Damion James,https://www.basketball-reference.com/players/j/jamesda01.html
2010,25,Dominique Jones,https://www.basketball-reference.com/players/j/jonesdo02.html
2010,26,Quincy Pondexter,https://www.basketball-reference.com/players/p/pondequ01.html
2010,27,Jordan Crawford,https://www.basketball-reference.com/players/c/crawfjo02.html
2010,28,Greivis Vásquez,https://www.basketball-reference.com/players/v/vasqugr01.html
2010,29,Daniel Orton,https://www.basketball-reference.com/players/o/ortonda01.html
2010,30,Lazar Hayward,https://www.basketball-reference.com/players/h/haywala01.html
2010,31,Tibor Pleiß,https://www.basketball-reference.com/players/p/pleisti01.html
2010,32,Dexter Pittman,https://www.basketball-reference.com/players/p/pittmde01.html
2010,33,Hassan Whiteside,https://www.basketball-reference.com/players/w/whiteha01.html
2010,34,Armon Johnson,https://www.basketball-reference.com/players/j/johnsar02.html
2010,35,Nemanja Bjelica,https://www.basketball-reference.com/players/b/bjeline01.html
2010,36,Terrico White,https://www.basketball-reference.com/players/w/whitete01.html
2010,37,Darington Hobson,https://www.basketball-reference.com/players/h/hobsoda01.html
2010,38,Andy Rautins,https://www.basketball-reference.com/players/r/rautian01.html
2010,39,Landry Fields,https://www.basketball-reference.com/players/f/fieldla01.html
2010,40,Lance Stephenson,https://www.basketball-reference.com/players/s/stephla01.html
2010,41,Jarvis Varnado,https://www.basketball-reference.com/players/v/varnaja01.html
2010,42,Da'Sean Butler,https://www.basketball-reference.com/players/b/butleda03.html
2010,43,Devin Ebanks,https://www.basketball-reference.com/players/e/ebankde01.html
2010,44,Jerome Jordan,https://www.basketball-reference.com/players/j/jordaje01.html
2010,45,Paulão Prestes,https://www.basketball-reference.com/players/p/prestpa01.html
2010,46,Gani Lawal,https://www.basketball-reference.com/players/l/lawalga01.html
2010,47,Tiny Gallon,https://www.basketball-reference.com/players/g/galloti01.html
2010,48,Latavious Williams,https://www.basketball-reference.com/players/w/willila01.html
2010,49,Ryan Richards,https://www.basketball-reference.com/players/r/richary01.html
2010,50,Solomon Alabi,https://www.basketball-reference.com/players/a/alabiso01.html
2010,51,Magnum Rolle,https://www.basketball-reference.com/players/r/rollema01.html
2010,52,Luke Harangody,https://www.basketball-reference.com/players/h/haranlu01.html
2010,53,Pape Sy,https://www.basketball-reference.com/players/s/sypa01.html
2010,54,Willie Warren,https://www.basketball-reference.com/players/w/warrewi01.html
2010,55,Jeremy Evans,https://www.basketball-reference.com/players/e/evansje01.html
2010,56,Hamady N'Diaye,https://www.basketball-reference.com/players/n/ndiayha01.html
2010,57,Ryan Reid,https://www.basketball-reference.com/players/r/reidry01.html
2010,58,Derrick Caracter,https://www.basketball-reference.com/players/c/caracde01.html
2010,59,Stanley Robinson,https://www.basketball-reference.com/players/r/robinst01.html
2010,60,Dwayne Collins,https://www.basketball-reference.com/players/c/collidw01.html
2011,1,Kyrie Irving,https://www.basketball-reference.com/players/i/irvinky01.html
2011,2,Derrick Williams,https://www.basketball-reference.com/players/w/willide02.html
2011,3,Enes Freedom,https://www.basketball-reference.com/players/k/kanteen01.html
2011,4,Tristan Thompson,https://www.basketball-reference.com/players/t/thomptr01.html
2011,5,Jonas Valančiūnas,https://www.basketball-reference.com/players/v/valanjo01.html
2011,6,Jan Veselý,https://www.basketball-reference.com/players/v/veselja01.html
2011,7,Bismack Biyombo,https://www.basketball-reference.com/players/b/biyombi01.html
2011,8,Brandon Knight,https://www.basketball-reference.com/players/k/knighbr03.html
2011,9,Kemba Walker,https://www.basketball-reference.com/players/w/walkeke02.html
2011,10,Jimmer Fredette,https://www.basketball-reference.com/players/f/fredeji01.html
2011,11,Klay Thompson,https://www.basketball-reference.com/players/t/thompkl01.html
2011,12,Alec Burks,https://www.basketball-reference.com/players/b/burksal01.html
2011,13,Markieff Morris,https://www.basketball-reference.com/players/m/morrima02.html
2011,14,Marcus Morris,https://www.basketball-reference.com/players/m/morrima03.html
2011,15,Kawhi Leonard,https://www.basketball-reference.com/players/l/leonaka01.html
2011,16,Nikola Vučević,https://www.basketball-reference.com/players/v/vucevni01.html
2011,17,Iman Shumpert,https://www.basketball-reference.com/players/s/shumpim01.html
2011,18,Chris Singleton,https://www.basketball-reference.com/players/s/singlch01.html
2011,19,Tobias Harris,https://www.basketball-reference.com/players/h/harrito02.html
2011,20,Donatas Motiejūnas,https://www.basketball-reference.com/players/m/motiedo01.html
2011,21,Nolan Smith,https://www.basketball-reference.com/players/s/smithno01.html
2011,22,Kenneth Faried,https://www.basketball-reference.com/players/f/farieke01.html
2011,23,Nikola Mirotić,https://www.basketball-reference.com/players/m/mirotni01.html
2011,24,Reggie Jackson,https://www.basketball-reference.com/players/j/jacksre01.html
2011,25,MarShon Brooks,https://www.basketball-reference.com/players/b/brookma01.html
2011,26,Jordan Hamilton,https://www.basketball-reference.com/players/h/hamiljo02.html
