year,pick,player_name,profile_url,career_ast_pct,career_stl_pct,career_blk_pct,career_bpm,career_obpm,career_dbpm,career_vorp,career_ws,career_ws48,career_per,career_ts_pct,career_usg_pct
2009,14,Earl Clark,https://www.basketball-reference.com/players/c/clarkea01.html,17.9,12.1,5.7,-2.9,2.9,0.038,0.1,-1.3,4.2,54.0,3630.0,2.9
2009,15,Austin Daye,https://www.basketball-reference.com/players/d/dayeau01.html,18.6,11.1,8.3,-1.9,4.5,0.053,-0.1,0.6,3.9,29.0,4132.0,2.3
2009,16,James Johnson,https://www.basketball-reference.com/players/j/johnsja01.html,,,,,,,,,,,,
2009,17,Jrue Holiday,https://www.basketball-reference.com/players/h/holidjr01.html,10.6,6.9,29.4,1.4,75.6,0.105,0.2,39.5,36.1,968.0,34560.0,1.3
2009,18,Ty Lawson,https://www.basketball-reference.com/players/l/lawsoty01.html,8.0,5.3,32.2,2.0,42.1,0.126,-0.6,32.6,9.5,344.0,16088.0,0.3
2009,19,Jeff Teague,https://www.basketball-reference.com/players/t/teaguje01.html,8.7,5.1,32.3,0.8,52.4,0.113,-0.3,31.4,21.0,600.0,22164.0,1.0
2009,20,Eric Maynor,https://www.basketball-reference.com/players/m/maynoer01.html,8.2,5.2,29.5,-1.7,3.3,0.041,-1.2,0.5,2.8,2.0,3896.0,0.4
2009,21,Darren Collison,https://www.basketball-reference.com/players/c/collida01.html,8.3,5.1,26.5,0.9,49.9,0.115,-0.4,34.4,15.5,518.0,20833.0,0.4
2009,22,Victor Claver,https://www.basketball-reference.com/players/c/clavevi01.html,14.3,9.4,7.7,-3.6,0.2,0.011,0.0,-0.5,0.7,16.0,1072.0,1.1
2009,23,Omri Casspi,https://www.basketball-reference.com/players/c/casspom01.html,17.6,11.1,8.6,-0.4,19.6,0.078,-0.4,10.0,9.5,145.0,11959.0,0.9
2009,24,Byron Mullens,https://www.basketball-reference.com/players/m/mulleby01.html,20.1,13.1,8.1,-2.2,0.6,0.008,-1.9,-1.4,1.9,66.0,3446.0,2.2
2009,25,Rodrigue Beaubois,https://www.basketball-reference.com/players/b/beaubro01.html,11.2,6.6,21.5,-0.9,4.8,0.079,0.7,1.3,3.5,54.0,2896.0,1.4
2009,26,Taj Gibson,https://www.basketball-reference.com/players/g/gibsota01.html,,,,,,,,,,,,
2009,27,DeMarre Carroll,https://www.basketball-reference.com/players/c/carrode01.html,14.6,10.0,8.1,-0.2,29.5,0.104,0.2,15.5,14.1,339.0,13675.0,0.9
2009,28,Wayne Ellington,https://www.basketball-reference.com/players/e/ellinwa01.html,9.9,5.7,8.2,-0.5,21.1,0.063,-0.9,13.0,8.2,206.0,16100.0,0.3
2009,29,Toney Douglas,https://www.basketball-reference.com/players/d/douglto01.html,10.2,6.7,18.5,-0.8,12.1,0.077,0.0,6.4,5.7,65.0,7511.0,0.3
2009,30,Christian Eyenga,https://www.basketball-reference.com/players/e/eyengch01.html,11.9,7.5,6.4,-3.6,-0.4,-0.02,-0.6,-1.0,0.6,18.0,1049.0,2.4
2009,31,Jeff Ayres,https://www.basketball-reference.com/players/p/pendeje02.html,21.0,15.5,6.3,-2.9,6.3,0.131,0.6,2.8,3.6,15.0,2322.0,2.1
2009,32,Jermaine Taylor,https://www.basketball-reference.com/players/t/tayloje02.html,9.1,7.8,10.1,-1.6,0.2,0.014,-2.1,-0.3,0.5,12.0,786.0,0.7
2009,33,Dante Cunningham,https://www.basketball-reference.com/players/c/cunnida01.html,14.4,10.1,5.1,-2.0,24.9,0.08,0.3,10.5,14.5,195.0,14875.0,1.8
2009,34,Sergio Llull,https://www.basketball-reference.com/players/l/llullse01.html,,,,,,,,,,,,
2009,35,DaJuan Summers,https://www.basketball-reference.com/players/s/summeda01.html,8.9,6.0,5.7,-3.9,-0.1,-0.008,-1.9,-0.4,0.3,7.0,820.0,0.8
2009,36,Sam Young,https://www.basketball-reference.com/players/y/youngsa01.html,12.0,8.4,7.0,-2.0,5.2,0.063,-0.1,1.1,4.1,52.0,3966.0,1.1
2009,37,DeJuan Blair,https://www.basketball-reference.com/players/b/blairde01.html,21.6,17.7,7.8,-1.5,19.0,0.129,0.3,7.5,11.5,179.0,7054.0,1.3
2009,38,Jon Brockman,https://www.basketball-reference.com/players/b/brockjo01.html,19.4,17.2,4.6,-3.2,3.7,0.113,-0.7,2.0,1.7,10.0,1570.0,0.4
2009,39,Jonas Jerebko,https://www.basketball-reference.com/players/j/jerebjo01.html,17.9,12.6,6.9,-0.8,25.8,0.109,-0.2,14.7,11.0,119.0,11323.0,1.1
2009,40,Derrick Brown,https://www.basketball-reference.com/players/b/brownde04.html,11.5,9.5,8.2,-0.8,4.5,0.085,-0.5,2.9,1.6,18.0,2554.0,1.0
2009,41,Jodie Meeks,https://www.basketball-reference.com/players/m/meeksjo01.html,9.0,5.1,7.4,-0.3,24.3,0.096,-0.3,15.4,8.9,204.0,12110.0,0.2
2009,42,Patrick Beverley,https://www.basketball-reference.com/players/b/beverpa01.html,12.4,8.4,17.6,-0.5,40.2,0.109,1.2,21.7,18.5,518.0,17689.0,1.7
