name,name_lower,status,pick,college,br_profile_url,draft_year
"Bane, Desmond","bane, desmond",drafted,30.0,TCU,https://www.basketball-reference.com/players/b/banede01.html,2020
"Livers, Isaiah","livers, isaiah",drafted,42.0,Michigan,https://www.basketball-reference.com/players/l/liveris01.html,2021
"Poole, Jordan","poole, jordan",drafted,28.0,Michigan,https://www.basketball-reference.com/players/p/poolejo01.html,2019
"Claxton, Nicolas","claxton, nicolas",drafted,31.0,Georgia,,
"Toppin, Obi","toppin, obi",drafted,8.0,Dayton,https://www.basketball-reference.com/players/t/toppiob01.html,2020
"Langford, Romeo","langford, romeo",drafted,14.0,Indiana,https://www.basketball-reference.com/players/l/langfro01.html,2019
"Joe, Isaiah","joe, isaiah",drafted,49.0,Arkansas,https://www.basketball-reference.com/players/j/joeis01.html,2020
"Mays, Skylar","mays, skylar",drafted,50.0,LSU,https://www.basketball-reference.com/players/m/mayssk01.html,2020
"Hughes, Elijah","hughes, elijah",drafted,42.0,Syracuse,https://www.basketball-reference.com/players/h/hugheel01.html,2020
"Smith, Jalen","smith, jalen",drafted,10.0,Maryland,https://www.basketball-reference.com/players/s/smithja04.html,2020
"Johnson, Keyontae","johnson, keyontae",drafted,50.0,Florida,https://www.basketball-reference.com/players/j/johnske08.html,2023
"Bey, Tyler","bey, tyler",drafted,39.0,Colorado,https://www.basketball-reference.com/players/b/beyty01.html,2020
"Butler, Jared","butler, jared",drafted,40.0,Baylor,https://www.basketball-reference.com/players/b/butleja02.html,2021
"Paschall, Eric","paschall, eric",drafted,41.0,Villanova,https://www.basketball-reference.com/players/p/pascher01.html,2019
"Kispert, Corey","kispert, corey",drafted,15.0,Gonzaga,https://www.basketball-reference.com/players/k/kispeco01.html,2021
"Wieskamp, Joe","wieskamp, joe",drafted,41.0,Iowa,https://www.basketball-reference.com/players/w/wieskjo01.html,2021
"Nembhard, Andrew","nembhard, andrew",drafted,31.0,Florida,https://www.basketball-reference.com/players/n/nembhan01.html,2022
"Queta, Neemias","queta, neemias",drafted,39.0,Utah St.,https://www.basketball-reference.com/players/q/quetane01.html,2021
"Lewis Jr. , Kira","lewis jr. , kira",drafted,13.0,Alabama,https://www.basketball-reference.com/players/l/lewiski01.html,2020
"Perry, Reggie","perry, reggie",drafted,57.0,Mississippi St.,https://www.basketball-reference.com/players/p/perryre01.html,2020
"Gray, RaiQuan","gray, raiquan",drafted,59.0,Florida St.,https://www.basketball-reference.com/players/g/grayra01.html,2021
"Wiggins, Aaron","wiggins, aaron",drafted,55.0,Maryland,https://www.basketball-reference.com/players/w/wiggiaa01.html,2021
