"DA Houston","Texas A&M Corpus Chris",Slnd,9,32,80.4,29.3,41.9,44.17,1.9,4.4,31.3,27.6,12,22,0.545,14,35,0.4,8,27,0.296,3.5,1.8,35.5,Sr,6-2,0,-0.254432,88.4514,5.5,2026,72521,"Houston, TX",,1.31030951,11,26,3,9,0.4231,0.3333,0,0,,,107.236,105.439,1.85916,25.136,-5.44781,-4.76043,-0.687384,-3.9205,18.2182,-2.683,-1.2375,0.2727,1.1818,1.4545,3.4545,0.6364,0.5455,6.5455,"Pure PG",9.48479,2001-12-26
"Terren Frank",Campbell,CAA,1,3.4,85.2,12.7,25,33.52,10.1,5.7,8.1,20.1,1,1,1,1,4,0.25,0,0,0,0,5.2,25,Sr,6-8,15,-1.33028,74.8316,5.5,2026,72526,"Los Angeles, CA",68.4,1.00000000,1,2,0,2,0.5000,0.0000,0,0,,,110.533,118.638,1.19364,4.39949,-0.83764,-2.50827,1.67063,-2.09581,21.8000,-3.13265,1.03684,2.0000,1.0000,3.0000,1.0000,2.0000,0.0000,3.0000,"Wing F",0,2000-12-06
"Tyon Grant-Foster",Gonzaga,WCC,19,51,111.1,25.3,54.5,56.61,9.7,15,6.6,15.5,46,73,0.63,69,120,0.575,11,37,0.297,7.2,1.7,46.5,Sr,6-7,7,2.00262,120.682,4,2026,72539,"Kansas City, KS",,0.60711133,60,93,9,27,0.6452,0.3333,22,25,0.8800,,91.1742,88.0825,3.28288,86.9677,5.41579,1.13523,4.28057,5.26782,20.5526,2.88163,2.3862,1.7368,3.0526,4.7895,0.8947,0.6316,1.2105,11.4211,PF/C,5.16882,2000-03-05
"Monty Bowser","Cal Baptist",WAC,10,11.2,92.5,12.4,31,35.64,2.6,16.3,4,5.6,4,6,0.667,2,6,0.333,3,15,0.2,0,2.1,28.6,Sr,6-7,10,-0.284717,82.7981,1.9,2026,72614,"Charlotte, NC",78.0,2.00000000,2,5,0,1,0.4000,0.0000,1,1,1.0000,,101.636,102.435,0.94664,15.5313,-2.03638,-2.55103,0.514655,-3.25371,8.5300,-3.91335,0.659637,0.2000,1.2000,1.4000,0.2000,0.3000,0.0000,1.7000,"Wing G",10.371,2001-10-15
"Vukasin Masic","San Francisco",WCC,19,57.4,101.7,13.7,49,49.84,0.8,7.5,16.2,19.9,5,7,0.714,14,27,0.519,22,69,0.319,0.5,0.4,7.3,Sr,6-5,7,0.115143,93.8614,1.4,2026,72621,"Belgrade, Serbia",,2.34999990,8,14,6,13,0.5714,0.4615,0,0,,,110.695,110.867,1.87761,55.4253,-2.24629,-1.22386,-1.02243,-2.13123,23.2500,-0.926403,-1.20482,0.1500,1.6000,1.7500,2.3500,0.1500,0.1000,5.1000,"Combo G",9.4277,2001-06-14
"Yame Butler",Butler,BE,17,35.1,113.7,16.6,53.3,57.06,3.7,8.3,16.6,19.3,16,21,0.762,19,32,0.594,9,29,0.31,1.5,1.8,34.4,Sr,6-5,8,0.928681,111.486,3.8,2026,72635,"Greenbelt, MD",,1.71438988,11,19,8,13,0.5789,0.6154,0,0,,,107.276,103.196,1.52048,40.0558,1.60814,0.999302,0.608836,0.999249,14.2412,0.0813639,0.917885,0.4706,1.1176,1.5882,1.4118,0.4706,0.2353,4.7647,"Combo G",6.63818,2001-10-15
"Anthony Roy","Oklahoma St.",B12,14,56.7,125,22.6,61.1,65.71,2.6,13.3,9.6,13.6,48,53,0.906,27,57,0.474,48,105,0.457,1.5,0.8,32.7,Sr,6-5,9,3.80937,132.296,2.6,2026,72638,"Oakland, CA",,0.91301967,23,45,4,12,0.5111,0.3333,0,0,,,108.922,104.728,2.83608,66.7608,4.48563,5.13963,-0.654002,7.00605,27.5286,7.58585,-0.579797,0.6429,3.5714,4.2143,1.5000,0.4286,0.3571,17.5714,"Wing G",14.023,2001-12-06
"Graham Ike",Gonzaga,WCC,18,66.9,128,25.9,57.6,61.54,8.8,23.5,15.3,10.7,74,97,0.763,112,188,0.596,9,30,0.3,2.6,1.1,44.5,Sr,6-9,15,4.82996,141.701,3.4,2026,72639,"Aurora, CO",,1.88465799,68,102,44,86,0.6667,0.5116,10,11,0.9091,,91.3351,88.1358,4.53569,113.333,8.26075,5.02046,3.24028,10.2949,28.4389,7.37851,2.91643,2.1667,6.6111,8.7778,2.7222,0.5556,0.6111,18.0556,PF/C,3.19488,2002-08-03
"Quincy Ballard","Mississippi St.",SEC,17,54.2,113.9,15,54.5,57.34,9.5,25.2,3.2,15.8,18,24,0.75,48,88,0.545,0,0,0,6.1,0.3,27.3,Sr,7-0,15,1.20395,108.433,3,2026,72656,"Syracuse, NY",35.2,0.43752655,34,52,14,36,0.6538,0.3889,17,19,0.8947,,103.697,98.9626,2.66518,79.8364,1.0248,-1.83747,2.86227,1.42955,22.1412,0.316747,1.11281,2.0000,5.5294,7.5294,0.4118,0.1176,1.2941,6.7059,C,0,2001-07-28
"Freddy Hicks","Tarleton St.",WAC,12,66.5,103.8,20.1,44.4,55.59,6.5,13.2,11.1,20.9,64,87,0.736,30,67,0.448,4,14,0.286,2.1,2.5,107.4,Sr,6-6,2,1.57327,107.06,4.7,2026,72675,"Searcy, AR",,1.15151515,15,37,15,30,0.4054,0.5000,0,0,,,108.361,108.309,2.80509,68.1135,0.913341,0.0704758,0.842865,-0.385934,29.9563,0.0459756,-0.43191,1.8125,4.3125,6.1250,2.3750,1.3125,0.5000,10.9375,"Wing G",2.02333,2002-05-13
